comment_id,creation_time,likes,author_id,author_nickname,content,reply_to_comment_id
72-2-153f8a43-84ef-4490-8dd0-6bf9fc356483,2024-02-10T21:22:44.101823Z,2,0caebdbf-c1c9-4417-8c9f-ec8d234f6889,JReal,Jatkot melodiafestivals,None
72-2-c87580b3-2606-473e-85a6-b267c6415375,2024-02-10T21:22:40.333825Z,0,0506e4b1-c35e-431d-beed-44024a8c9df5,MaukkaMangusti,Yleisö äänesti väärin vai - lakkoon…,None
72-2-b3e67a93-255f-42d8-b0ed-54fdb81e6118,2024-02-10T21:22:40.115932Z,13,d3d1fd69-556d-4fb1-8633-cdfcc5972a91,tsaarix,Aika noloa YLE! Suurin osa ei päässyt kirjautumaan ,None
72-2-a5a2410b-9a1a-4b9c-b868-661375b11cb2,2024-02-10T21:22:29.767113Z,0,7fd5d380-e6ba-468f-bea1-e7c12a312dea,Potter,💚💙💚💜,None
72-2-74004005-4171-4147-833a-31702d1723fa,2024-02-10T21:22:41.098323Z,0,7a01f426-baeb-469e-ae76-a25fffb15c10,anonyymi356224,No rules! ,None
72-2-7d1dbd85-9662-4b3a-b9a7-a229fb70348d,2024-02-10T21:22:38.113265Z,1,e3991fb7-5942-46f1-809f-49e3114ec75d,Joonaskupila,hienosti toimii yle,None
72-2-02ebc2b1-5bf4-4e9d-81e4-8cee5425ead3,2024-02-10T21:22:37.533821Z,0,c0f2e52a-074b-423a-9d69-7a00c572bc6e,Niko 13,Nii ,72-2-95392380-5f7e-4cd0-a23e-8172bfcde162
72-2-7594f9f1-d999-45b2-83a6-845a54fa2f38,2024-02-10T21:22:40.595733Z,3,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,teki mulle <3,72-2-3a51c865-226b-491f-9766-08baac65dc76
72-2-dea1f8c9-48fc-4652-bdda-9d338ffcedfe,2024-02-10T21:22:31.729386Z,3,675a5155-734c-4985-819c-858aa96f256f,Sadeolen,Y M C A,None
72-2-6309e7d6-6d86-4181-a339-12622ae5c912,2024-02-10T21:22:28.213836Z,2,b433404c-e2cd-4155-b040-94a1ca4ee1d6,finlandelliot,Täs ei ollu mitää järkee ku äänestämine ei toiminu nii monella,None
72-2-3f13e995-f659-4e88-a8c8-9ac03c6cb08c,2024-02-10T21:22:26.827878Z,0,344b74ca-bc9a-4812-b801-2fa536868ab7,Sarahz,LIVE ESITYKSET OLI NII HYVIIIÄÄ,None
72-2-e925ad2b-739b-4045-961a-eff1d3ff2eeb,2024-02-10T21:22:16.117997Z,0,4d4df340-b670-42ef-a07c-4fe2ea150b91,joannagrohn2,Me ei tulla ees pääsemään finaalin että Ainakaan mä en tuu kattomaan koko euroviisut,None
72-2-ec4756e2-88fd-4a0f-a5e9-b871b8e4134d,2024-02-10T21:22:19.009956Z,0,07225670-8278-4e89-b96d-5b0c16bbfb25,juustonakki1000,HELLUREI HENKKA <3,None
72-2-a0218fd5-85cb-473e-9bd9-7fa1d0287cb5,2024-02-10T21:22:25.683595Z,3,49551791-93ff-4d31-b3bc-97875e39b2eb,V3rdict,lapset lapset nyt ihan rauhassa :D,None
72-2-cc4a6246-38de-4563-a581-7659ae69d6aa,2024-02-10T21:21:42.889147Z,5,d34aa670-980b-45b1-a644-a36c64396155,IleTku,Voittaja 🤮🤮🤮🤮,None
72-2-eeac9704-0c7d-4215-b530-30e011ed7449,2024-02-10T21:22:21.875166Z,0,d4cb5732-64af-4ca2-bb4a-d1e4fa3a3891,EKaramel,Kuka voitti liput?,None
72-2-95392380-5f7e-4cd0-a23e-8172bfcde162,2024-02-10T21:22:23.956458Z,6,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,EN TIIÄ :( niistä ilmotetaan varmasti kyllä!,72-2-4acb9781-1b5d-4327-b858-cf931497c4b8
72-2-714da8db-8f25-416e-b7f0-59d2ba36435b,2024-02-10T21:22:11.249837Z,0,49fe8a8a-780a-4117-8bb9-a76b66fa5188,alisaseur,Sitten vaa toivotaan,72-2-6f030d5f-0e6f-48b6-87dd-400a6ef3f1f8
72-2-1440a00f-9980-4f4e-a63a-62c477e2bdf1,2024-02-10T21:22:15.859998Z,0,dda8cc9b-08e1-4b4c-af43-68e2b949c84a,anonyymi957203,Huh oli siisti show🔥🔥,None
72-2-8e9a4b4f-4f3e-4c72-98bf-cf44fa80a0fb,2024-02-10T21:22:11.221825Z,1,7a2d3d28-1b26-4594-b886-26f126d1b934,Tyte,Mikael gabriel ):,None
72-2-6e377761-0fa9-4972-933b-7aac24a12499,2024-02-10T21:22:09.703633Z,2,8ef7d364-5b92-4c19-8642-b9c7f67141e3,Nakkipussi,Sä olet huono 🥰,72-2-dd2f436d-e61b-47c0-9d49-dd53ba2b096c
72-2-4f30ead7-b225-4f07-b061-8875f708f002,2024-02-10T21:22:11.876733Z,1,b0da8bf7-7f4a-4b6a-a9bc-04064a4f5805,Tulilisko,Windows95man rules🥳,None
72-2-ee7c21b1-d03d-49a0-b3d6-611114de32b6,2024-02-10T21:22:11.401651Z,0,c9291b41-7d62-41cc-9809-a567cafdc84e,leeeng,See you in Malmø!!,None
72-2-d153608c-b6b5-4053-9c92-9eb6aca2f532,2024-02-10T21:22:10.946705Z,0,509760e9-e357-43ad-b743-ecab7831a942,minjas09,uus äänestys,None
72-2-ababb7ee-85ec-4399-9443-1449d366098b,2024-02-10T21:22:08.557822Z,1,2b6de4d6-af83-49ea-b71e-93122b9495ff,aikkuloll,ei kyl,72-2-cd7e3ec4-4275-4b50-bd9d-d240f11fed91
72-2-d9ef9c49-ff2b-4451-bcf7-162e13f6f81c,2024-02-10T21:21:37.861816Z,0,4446d5f4-9193-46ed-acc3-920da0f837eb,Erimik18,Jos voittaisi en kyllä ikinä menis,None
72-2-4acb9781-1b5d-4327-b858-cf931497c4b8,2024-02-10T21:21:37.761820Z,0,f1be0b36-f3d5-4f55-bf7d-d04b6c9b5660,JokuHyybä,HENKKA KUKA VOITTI LIPUT?,None
72-2-64b685b3-4f05-4bc4-a26f-3ca5a45d39dc,2024-02-10T21:21:56.239963Z,1,8c7336ae-1292-49c3-a621-855d0f684651,pepriiko,Minä voitin. Ostakaa pois en tarvitse ,72-2-d2c1f447-1691-4d12-882e-49cd1526b968
72-2-b277e690-295f-4646-9c47-096d637db4b9,2024-02-10T21:21:37.196258Z,1,0506e4b1-c35e-431d-beed-44024a8c9df5,MaukkaMangusti,Sara oli huono livenä paras live voitti,None
72-2-f0c92ca4-7d80-43fc-b67f-52013cce5847,2024-02-10T21:22:03.129823Z,0,7890b6a5-3729-42b3-90c5-d671b80c0f43,nordlingsusanne,Äänestin Sara S.mutta voittajakin hyvä🤗🙏,None
72-2-860111a6-171d-47b8-8614-11090e40eda9,2024-02-10T21:21:48.726697Z,1,59cd3cdc-31db-466f-af8f-d17b10d63abb,Mmikitintin,Ei niitä vielä oo arvottu,72-2-5ece0a23-7c57-4cd1-9f17-de1b2e931e6b
72-2-d80d660d-138d-4a25-a953-801a2d46d8fb,2024-02-10T21:21:58.069730Z,3,4c1e821a-16a8-410e-9e8c-cad56e852915,F1Wrc_Tume97,sara siipola ois ansainnu voiton,None
72-2-96da6114-338c-4486-a4c5-82e0d18918f4,2024-02-10T21:22:00.358065Z,2,dc21ebe6-986d-435f-b2c3-2bb0ab0d9e28,anonyymi185410,Koko ajan jumittaa,None
72-2-772f213e-b0eb-4793-83d4-723b83c4e647,2024-02-10T21:21:43.621102Z,5,fb84c271-0aee-4c8f-86c6-e76a5f0a23f7,Reeta Arola,Väärä voitti! ,None
72-2-96c318c1-7f52-4552-a6fa-28b4b09b54e6,2024-02-10T21:21:35.091524Z,0,0caebdbf-c1c9-4417-8c9f-ec8d234f6889,JReal,Love you all,None
72-2-71136ffc-d3f5-4334-9191-6bd3069d013d,2024-02-10T21:21:01.897820Z,0,425e6c1e-75b1-4880-8adf-fe122acdb32a,Nunaunski,Viisuesitykseen sit pingviiniteemaa!,None
72-2-5b32fba4-9e0f-4339-9966-da95b4a80b42,2024-02-10T21:21:38.285824Z,0,4ae52c62-d13c-4be1-8127-85a5ad2989fc,Pepezii08,Minä ,72-2-eca03fa7-a647-4305-a075-98f453876179
72-2-9ceb915e-caef-417f-a160-a8ff7041d1aa,2024-02-10T21:21:34.012180Z,0,509760e9-e357-43ad-b743-ecab7831a942,minjas09,miten siniki sai nii vähä äänii,None
72-2-b8efd16e-2a09-46e8-b1b3-709acf47d980,2024-02-10T21:21:34.383564Z,0,58c19caf-75c4-4566-a25c-451c7620149e,fabritiushilla,chau,None
72-2-fe6b0dca-8cc5-4986-bd2b-d33fefaaae5a,2024-02-10T21:21:01.313162Z,0,86079432-5e79-466c-9b61-022b1332b728,alexvardanian26,Äänet ei menny läpi,None
72-2-fb4ce9c1-bdad-41cc-9d99-c2b5aef44f6f,2024-02-10T21:21:29.041233Z,1,4b82ff6d-1f48-455e-b1b9-ca39626f7525,Tittinet,Kuka voitti,None
72-2-519bbcff-b023-4322-bc1b-c12ee1caec1a,2024-02-10T21:21:00.553817Z,0,ad50adec-9dcc-4505-af7d-251763cf94d9,maija raiman,Pettymys. Ainoa hyvä puoli on se ettei tarvii suotta valvoa kun on finaali jos sinne saakka edes päästään. ,72-2-14532523-df0b-428f-a9a4-8cf7b8926dcf
72-2-e092c6fb-be2a-4985-8d06-4ee62ee05542,2024-02-10T21:21:24.149955Z,4,675a5155-734c-4985-819c-858aa96f256f,Sadeolen,MUTTA RAKKAAT MUISTAKAA EUROVIISUISSA PÄRJÄÄ TOSI HÄIRIINTYNEILLÄKII BIISEILLÄ!!!,None
72-2-3a565d39-f84c-44a5-b537-b148c7e600f8,2024-02-10T21:21:22.805930Z,0,90e51b9c-6ca3-4d7b-917b-7697ed45157e,Southampton,Mitähän se oikee Windows man tuumii tähän?,None
72-2-5fee8022-eecd-48dd-b236-b2d7828a4eb7,2024-02-10T21:21:08.150883Z,5,b644ccbb-72c7-40f8-a546-6d18ca1ab8fd,Keltsun Perus,Kansainvälisen raadin häviäjä = Nou Gou.,None
72-2-ff735e35-6055-4a11-8b84-5b2f50898e0f,2024-02-10T21:21:14.757819Z,12,d2fba4b5-c007-412c-bd69-832dcc62a4ab,Emmasoffi,mä voitin liput!!!,None
72-2-362c9ec4-ae7c-4246-b1a8-23589b0353fe,2024-02-10T21:21:00.821833Z,2,dc21ebe6-986d-435f-b2c3-2bb0ab0d9e28,anonyymi185410,Ei voinut äänestää jumiutui koko appi,None
72-2-2be07373-a7f2-45f8-ac75-7c1b5eba6256,2024-02-10T21:21:11.646687Z,0,3df1446a-74f7-4378-8b65-c7824d853fcd,Nulikka1986,95,None
72-2-d2c1f447-1691-4d12-882e-49cd1526b968,2024-02-10T21:20:54.596403Z,0,53f8ae0b-da23-492f-a131-26b7d2c71594,onnitapola00,KUKA VOITTI LIPUT HENKKA??,None
72-2-fec43699-03a0-4007-88bf-0f6f0c356aef,2024-02-10T21:21:04.073913Z,0,4446d5f4-9193-46ed-acc3-920da0f837eb,Erimik18,Viime vuonna ilman paitaa tn vuonna ilman housuja,None
72-2-f1b896e7-07af-491b-ba13-4a53985b1b35,2024-02-10T21:20:54.022907Z,0,c0f2e52a-074b-423a-9d69-7a00c572bc6e,Niko 13,Mää,72-2-fe32a9c4-cd3b-468d-a0cc-9dc76d3aec48
72-2-63cf4577-b242-4177-bcae-1c14e2a4c5cc,2024-02-10T21:21:14.103264Z,0,93cca84b-7b78-4fe2-b98a-e7ee65dda33b,taikalai,ei ansainnu,None
72-2-28f21cff-d84a-4d53-851d-66074b3c2818,2024-02-10T21:21:05.423087Z,2,8d75e592-ecdf-4bbf-b8d1-238a0ad4a88e,Ainoo4Life,Mä oon paskana🥺🥺,None
72-2-5ece0a23-7c57-4cd1-9f17-de1b2e931e6b,2024-02-10T21:21:07.530673Z,2,8c7336ae-1292-49c3-a621-855d0f684651,pepriiko,Voitin liput! Mutta en mene kun käärijä ei voittanut😂 Ostakaa pois,None
72-2-4c0967a2-6988-4211-8fed-ab6f9d1d8c00,2024-02-10T21:21:02.981888Z,4,e3c2209c-001c-4b1d-b284-583c8615113a,jadevatanen,KYLLÄ!!!!!,72-2-694b4ebc-4ad6-44c7-ac1a-7a55655548cb
